region,attribute,value,az_region_to_deploy_fuzzy_match,whitelistips,is_in_service_tag
Australia Central,Webapp,13.75.218.172/32,australiacentral,['13.75.218.172/32'],yes
Australia Central,SCC relay (if SCC is enabled),tunnel.australiaeast.azuredatabricks.net,australiacentral,['13.75.164.249/32'],yes
Australia Central,Control Plane NAT (if SCC is disabled),13.70.105.50/32,australiacentral,['13.70.105.50/32'],yes
Australia Central,Extended infrastructure,20.53.145.128/28,australiacentral,['20.53.145.128/28'],no
Australia Central 2,Webapp,13.75.218.172/32,australiacentral2,['13.75.218.172/32'],yes
Australia Central 2,SCC relay (if SCC is enabled),tunnel.australiaeast.azuredatabricks.net,australiacentral2,['13.75.164.249/32'],yes
Australia Central 2,Control Plane NAT (if SCC is disabled),13.70.105.50/32,australiacentral2,['13.70.105.50/32'],yes
Australia Central 2,Extended infrastructure,20.53.145.128/28,australiacentral2,['20.53.145.128/28'],no
Australia East,Webapp,13.75.218.172/32,australiaeast,['13.75.218.172/32'],yes
Australia East,SCC relay (if SCC is enabled),tunnel.australiaeast.azuredatabricks.net,australiaeast,['13.75.164.249/32'],yes
Australia East,Control Plane NAT (if SCC is disabled),13.70.105.50/32,australiaeast,['13.70.105.50/32'],yes
Australia East,Extended infrastructure,20.53.145.128/28,australiaeast,['20.53.145.128/28'],no
Australia Southeast,Webapp,13.75.218.172/32,australiasoutheast,['13.75.218.172/32'],yes
Australia Southeast,SCC relay (if SCC is enabled),tunnel.australiaeast.azuredatabricks.net,australiasoutheast,['13.75.164.249/32'],yes
Australia Southeast,Control Plane NAT (if SCC is disabled),13.70.105.50/32,australiasoutheast,['13.70.105.50/32'],yes
Australia Southeast,Extended infrastructure,20.53.145.128/28,australiasoutheast,['20.53.145.128/28'],no
Brazil South,Webapp,104.41.54.118/32,brazilsouth,['104.41.54.118/32'],yes
Brazil South,SCC relay (if SCC is enabled),tunnel.brazilsouth.azuredatabricks.net,brazilsouth,['23.97.106.142/32'],yes
Brazil South,Control Plane NAT (if SCC is disabled),191.232.53.223/32,brazilsouth,['191.232.53.223/32'],yes
Brazil South,Extended infrastructure,20.197.222.144/28,brazilsouth,['20.197.222.144/28'],no
Canada Central,Webapp,13.71.184.74/32,canadacentral,['13.71.184.74/32'],yes
Canada Central,SCC relay (if SCC is enabled),tunnel.canadacentral.azuredatabricks.net,canadacentral,['13.88.249.244/32'],yes
Canada Central,Control Plane NAT (if SCC is disabled),40.85.223.25/32,canadacentral,['40.85.223.25/32'],yes
Canada Central,Extended infrastructure,52.139.4.160/28,canadacentral,['52.139.4.160/28'],no
Canada East,Webapp,13.71.184.74/32,canadaeast,['13.71.184.74/32'],yes
Canada East,SCC relay (if SCC is enabled),tunnel.canadacentral.azuredatabricks.net,canadaeast,['13.88.249.244/32'],yes
Canada East,Control Plane NAT (if SCC is disabled),40.85.223.25/32,canadaeast,['40.85.223.25/32'],yes
Canada East,Extended infrastructure,52.139.4.160/28,canadaeast,['52.139.4.160/28'],no
Central India,Webapp,104.211.89.81/32,centralindia,['104.211.89.81/32'],yes
Central India,SCC relay (if SCC is enabled),tunnel.centralindia.azuredatabricks.net,centralindia,['52.172.133.58/32'],yes
Central India,Control Plane NAT (if SCC is disabled),104.211.101.14/32,centralindia,['104.211.101.14/32'],yes
Central India,Extended infrastructure,20.193.246.208/28,centralindia,['20.193.246.208/28'],no
Central US,Webapp,40.70.58.221/32 and 20.37.156.209/32,centralus,"['40.70.58.221/32', '20.37.156.209/32']",yes
Central US,SCC relay (if SCC is enabled),tunnel.eastus2.azuredatabricks.net and tunnel.centralusc2.azuredatabricks.net,centralus,"['13.86.58.215/32', '52.247.0.200/32']",yes
Central US,Control Plane NAT (if SCC is disabled),23.101.152.95/32 and 20.37.156.208/32,centralus,"['23.101.152.95/32', '20.37.156.208/32']",yes
Central US,Extended infrastructure,20.57.106.0/28,centralus,['20.57.106.0/28'],no
China East 2,Webapp,52.130.1.64/32,chinaeast2,['52.130.1.64/32'],no
China East 2,SCC relay,tunnel.chinaeast2.databricks.azure.cn,chinaeast2,['52.130.1.66/32'],no
China East 2,ControlÂ PlaneÂ NAT,52.130.1.65/32,chinaeast2,['52.130.1.65/32'],no
China East 2,Extended infrastructure,Extended infrastructure is not supported in China regions,chinaeast2,[],n/a
China North 2,Webapp,52.130.16.113/32,chinanorth2,['52.130.16.113/32'],no
China North 2,SCC relay,tunnel.chinanorth2.databricks.azure.cn,chinanorth2,['52.130.16.116/32'],no
China North 2,ControlÂ PlaneÂ NAT,52.130.16.112/32,chinanorth2,['52.130.16.112/32'],no
China North 2,Extended infrastructure,Extended infrastructure is not supported in China regions,chinanorth2,[],n/a
East Asia,Webapp,52.187.145.107/32,eastasia,['52.187.145.107/32'],yes
East Asia,SCC relay (if SCC is enabled),tunnel.southeastasia.azuredatabricks.net,eastasia,['52.230.27.216/32'],yes
East Asia,Control Plane NAT (if SCC is disabled),52.187.0.85/32,eastasia,['52.187.0.85/32'],yes
East Asia,Extended infrastructure,20.195.104.64/28,eastasia,['20.195.104.64/28'],no
East US,Webapp,"40.70.58.221/32, 20.42.4.209/32, and 20.42.4.211",eastus,['20.42.4.211/32'],yes
East US,SCC relay (if SCC is enabled),tunnel.eastus2.azuredatabricks.net and tunnel.eastusc3.azuredatabricks.net,eastus,"['52.146.50.16/32', '52.247.0.200/32']",yes
East US,Control Plane NAT (if SCC is disabled),"23.101.152.95/32, 20.42.4.208/32, and 20.42.4.210",eastus,['20.42.4.210/32'],yes
East US,Extended infrastructure,20.57.106.0/28,eastus,['20.57.106.0/28'],no
East US 2,Webapp,40.70.58.221/32 and 20.41.4.113/32,eastus2,"['40.70.58.221/32', '20.41.4.113/32']",yes
